Dataset,Model,Percentage of data in training,Train Accuracy,Test Accuracy
data/BarabasiAlbert.csv,KNeigborsClassifier,0.7,1.0,0.9998805399593836
data/BarabasiAlbert.csv,AdaBoostClassifier,0.7,0.9867902309149557,0.9842312746386334
data/BarabasiAlbert.csv,BaggingClassifier,0.7,1.0,1.0
data/BarabasiAlbert.csv,RandomForestTreeClassifier,0.7,1.0,1.0
data/BarabasiAlbert.csv,DecisionTreeClassifier,0.9,1.0,1.0
data/BarabasiAlbert.csv,GaussianNB,0.9,0.998128310302258,0.9978502328914367
data/BarabasiAlbert.csv,KNeigborsClassifier,0.9,0.9999601768149416,1.0
data/BarabasiAlbert.csv,AdaBoostClassifier,0.9,0.9857831229341723,0.9853099247581512
data/BarabasiAlbert.csv,BaggingClassifier,0.9,1.0,1.0
data/BarabasiAlbert.csv,RandomForestTreeClassifier,0.9,1.0,1.0
